id,sequence,task,choices,response,response_type,domain,task_original,choices_original
UBPQJE,0,possible;and;A;B,and;possible;A;possible;B,True,verify,modal,It is possible that: {A} and {B},It is possible that {A} AND it is possible that {B}
UBPQJE,1,and;possible;A;possible;B,possible;and;A;B,True,verify,modal,It is possible that {A} AND it is possible that {B},It is possible that: {A} and {B}
UBPQJE,0,or;possible;A;possible;not;A,possible;and;A;not;A,True,verify,modal,"It is possible that  {A} is alive OR it is possible that {A} is dead, OR BOTH",It is possible that: {A} is alive AND {A} is dead AT THE SAME TIME
UBPQJE,1,and;possible;A;possible;B,possible;and;A;B,True,verify,modal,It is possible that {A} is alive AND it is possible that {B} is dead,It is possible that: {A} is alive AND {B} is dead AT THE SAME TIME
UBPQJE,2,and;possible;A;possible;not;A,possible;and;A;not;A,True,verify,modal,It is possible that  {A} is alive AND it is possible that {A} is dead,It is possible that: {A} is alive AND {A} is dead AT THE SAME TIME
UBPQJE,3,and;possible;A;possible;not;A,possible;and;A;not;A,True,verify,modal,It is possible that  {A} is right AND it is possible that {A} is wrong  ,It is possible that: {A} is right AND {A} is wrong AT THE SAME TIME
UBPQJE,4,or;possible;A;possible;B,possible;and;A;B,True,verify,modal,"It is possible that {A} is single OR it is possible that {B} is married, OR BOTH",It is possible that: {A} is single AND {B} is married AT THE SAME TIME
UBPQJE,5,or;possible;A;possible;not;A,possible;and;A;not;A,True,verify,modal,"It is possible that  {A} is single OR it is possible that {A} is married, OR BOTH",It is possible that: {A} is single AND {A} is married  AT THE SAME TIME
UBPQJE,6,or;possible;A;possible;not;A,possible;and;A;not;A,True,verify,modal,"It is possible that {A} is right OR it is possible that {A} is wrong, OR BOTH",It is possible that: {A} is right AND {A} is wrong  AT THE SAME TIME
UBPQJE,7,and;possible;A;possible;B,possible;and;A;B,True,verify,modal,It is possible that {A} is right AND it is possible that {B} is wrong,It is possible that: {A} is right AND {B} is wrong AT THE SAME TIME
UBPQJE,8,or;possible;A;possible;B,possible;and;A;B,True,verify,modal,"It is possible that {A} is right OR it is possible that {B} is wrong, OR BOTH",It is possible that: {A1} AND {B1} AT THE SAME TIME
UBPQJE,9,and;possible;A;possible;not;A,possible;and;A;not;A,True,verify,modal,It is possible that  {A} is single AND it is possible that {A} is married  ,It is possible that: {A} is single AND {A} is married  AT THE SAME TIME
UBPQJE,10,or;possible;A;possible;B,possible;and;A;B,True,verify,modal,"It is possible that {A} is alive OR it is possible that {B} is dead, OR BOTH",It is possible that: {A} is alive AND {B} is dead AT THE SAME TIME
UBPQJE,11,and;possible;A;possible;B,possible;and;A;B,True,verify,modal,It is possible that {A} is single AND it is possible that {B} is married,It is possible that: {A} is single AND {B} is married AT THE SAME TIME
DLVXNC,0,and;possible;A;possible;B,possible;and;A;B,False,verify,modal,It is possible that {A} AND it is possible that {B},It is possible that: {A} and {B}
DLVXNC,1,possible;and;A;B,and;possible;A;possible;B,False,verify,modal,It is possible that: {A} and {B},It is possible that {A} AND it is possible that {B}
DLVXNC,0,and;possible;A;possible;not;A,possible;and;A;not;A,True,verify,modal,It is possible that  {A} is right AND it is possible that {A} is wrong  ,It is possible that: {A} is right AND {A} is wrong AT THE SAME TIME
DLVXNC,1,and;possible;A;possible;not;A,possible;and;A;not;A,True,verify,modal,It is possible that  {A} is single AND it is possible that {A} is married  ,It is possible that: {A} is single AND {A} is married  AT THE SAME TIME
DLVXNC,2,and;possible;A;possible;not;A,possible;and;A;not;A,True,verify,modal,It is possible that  {A} is alive AND it is possible that {A} is dead,It is possible that: {A} is alive AND {A} is dead AT THE SAME TIME
DLVXNC,3,or;possible;A;possible;not;A,possible;and;A;not;A,True,verify,modal,"It is possible that  {A} is alive OR it is possible that {A} is dead, OR BOTH",It is possible that: {A} is alive AND {A} is dead AT THE SAME TIME
DLVXNC,4,or;possible;A;possible;not;A,possible;and;A;not;A,True,verify,modal,"It is possible that {A} is right OR it is possible that {A} is wrong, OR BOTH",It is possible that: {A} is right AND {A} is wrong  AT THE SAME TIME
DLVXNC,5,and;possible;A;possible;B,possible;and;A;B,True,verify,modal,It is possible that {A} is single AND it is possible that {B} is married,It is possible that: {A} is single AND {B} is married AT THE SAME TIME
DLVXNC,6,or;possible;A;possible;B,possible;and;A;B,True,verify,modal,"It is possible that {A} is alive OR it is possible that {B} is dead, OR BOTH",It is possible that: {A} is alive AND {B} is dead AT THE SAME TIME
DLVXNC,7,or;possible;A;possible;B,possible;and;A;B,True,verify,modal,"It is possible that {A} is single OR it is possible that {B} is married, OR BOTH",It is possible that: {A} is single AND {B} is married AT THE SAME TIME
DLVXNC,8,or;possible;A;possible;B,possible;and;A;B,True,verify,modal,"It is possible that {A} is right OR it is possible that {B} is wrong, OR BOTH",It is possible that: {A1} AND {B1} AT THE SAME TIME
DLVXNC,9,and;possible;A;possible;B,possible;and;A;B,True,verify,modal,It is possible that {A} is right AND it is possible that {B} is wrong,It is possible that: {A} is right AND {B} is wrong AT THE SAME TIME
DLVXNC,10,or;possible;A;possible;not;A,possible;and;A;not;A,True,verify,modal,"It is possible that  {A} is single OR it is possible that {A} is married, OR BOTH",It is possible that: {A} is single AND {A} is married  AT THE SAME TIME
